latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
6.74716,8.58616,334.59,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,302.19,2.37,D
6.49287,6.77448,331.18,0.57,0.43,2026-01-29,1318,N,VIIRS,n,2.0NRT,296.76,3.42,D
6.75106,8.58097,333.15,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,301.81,2.37,D
6.718,8.34312,342.99,0.48,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,304.99,4.65,D
6.96439,10.0986,342.7,0.32,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,298.29,4.9,D
6.96936,10.09734,354.1,0.32,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,300.89,4.9,D
6.50845,6.79787,335.49,0.38,0.43,2026-01-29,1318,N,VIIRS,n,2.0NRT,297.9,5.25,D
6.50783,6.79353,340.47,0.57,0.43,2026-01-29,1318,N,VIIRS,n,2.0NRT,298.56,6.59,D
5.32507,-1.03569,333.73,0.47,0.4,2026-01-29,1318,N,VIIRS,n,2.0NRT,293.11,4.36,D
6.45834,6.39305,336.56,0.54,0.42,2026-01-29,1318,N,VIIRS,n,2.0NRT,291.85,5.85,D
7.01583,10.2855,367,0.33,0.55,2026-01-29,1318,N,VIIRS,h,2.0NRT,301.77,7.48,D
7.07445,10.71371,330.35,0.35,0.57,2026-01-29,1318,N,VIIRS,n,2.0NRT,284.99,2.31,D
7.01625,10.28858,340.04,0.33,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,296.14,7.48,D
6.80367,8.72464,342.77,0.51,0.5,2026-01-29,1318,N,VIIRS,n,2.0NRT,303.6,5.87,D
6.76872,8.44442,336.56,0.49,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,305.27,3.42,D
7.61546,14.64813,335.26,0.67,0.73,2026-01-29,1318,N,VIIRS,n,2.0NRT,287,7.87,D
6.77194,8.43479,330.66,0.49,0.49,2026-01-29,1318,N,VIIRS,l,2.0NRT,302.89,2.31,D
7.0317,10.24947,335.31,0.33,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,301.03,1.27,D
7.48853,13.57417,340.76,0.56,0.69,2026-01-29,1318,N,VIIRS,n,2.0NRT,288.89,6.69,D
7.03086,10.206,331.72,0.33,0.55,2026-01-29,1318,N,VIIRS,l,2.0NRT,303.55,2.54,D
7.02136,10.13787,348.15,0.32,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,304.34,3.34,D
7.02096,10.13499,341.84,0.32,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,301.31,3.34,D
7.56467,14.05022,339.46,0.61,0.71,2026-01-29,1318,N,VIIRS,n,2.0NRT,281.03,5.16,D
6.59374,7.07449,335.65,0.4,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,285.75,8.89,D
6.59322,7.07089,344.48,0.4,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,286.41,6.6,D
6.79096,8.4079,337.72,0.49,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,304.36,5.17,D
6.65843,7.49042,331.27,0.42,0.46,2026-01-29,1318,N,VIIRS,n,2.0NRT,285.63,3.05,D
6.59887,7.08111,331.2,0.4,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,281.77,2.99,D
6.58787,7.00568,330.46,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,293.48,1.97,D
6.78482,8.33348,341.73,0.48,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,303.08,2.95,D
6.59245,7.00869,356.68,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,297.33,16.05,D
6.59193,7.00512,343.37,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,297.09,8.19,D
7.63785,14.44967,340.54,0.65,0.73,2026-01-29,1318,N,VIIRS,n,2.0NRT,296.9,5.32,D
7.05303,10.17909,332.35,0.33,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,299.95,1.13,D
6.61377,7.0974,352.02,0.4,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,280.83,9.98,D
6.81936,8.446,333.31,0.49,0.49,2026-01-29,1318,N,VIIRS,l,2.0NRT,305.02,3.66,D
6.82782,8.47261,348.21,0.49,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,305,5.38,D
6.65787,7.31183,330.38,0.41,0.45,2026-01-29,1318,N,VIIRS,n,2.0NRT,288.6,2.69,D
6.56041,6.69349,334.79,0.57,0.43,2026-01-29,1318,N,VIIRS,n,2.0NRT,294.5,4.75,D
7.49,13.57535,342.7,0.56,0.69,2026-01-29,1318,N,VIIRS,n,2.0NRT,289.96,6.66,D
6.81666,8.44724,339.79,0.49,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,304.38,4.92,D
6.82488,8.47372,331.94,0.5,0.49,2026-01-29,1318,N,VIIRS,l,2.0NRT,304.17,2.28,D
6.8294,8.47323,338.09,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,303.63,2.82,D
6.43098,5.64551,334.13,0.49,0.4,2026-01-29,1318,N,VIIRS,n,2.0NRT,288.83,2.68,D
7.49799,13.43368,335.6,0.55,0.68,2026-01-29,1318,N,VIIRS,n,2.0NRT,293.42,4.55,D
7.51272,13.49863,349.37,0.56,0.69,2026-01-29,1318,N,VIIRS,n,2.0NRT,287,7.66,D
7.06002,10.05555,331.89,0.32,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,293.34,2.88,D
7.13204,10.5504,342.91,0.35,0.56,2026-01-29,1318,N,VIIRS,n,2.0NRT,285.96,3.05,D
7.13159,10.54707,340.93,0.35,0.56,2026-01-29,1318,N,VIIRS,n,2.0NRT,286.85,3.05,D
6.72723,7.61197,339.93,0.43,0.46,2026-01-29,1318,N,VIIRS,n,2.0NRT,291.81,7.31,D
7.0841,10.15704,367,0.32,0.55,2026-01-29,1318,N,VIIRS,h,2.0NRT,303.67,9.41,D
7.13682,10.54641,337.17,0.35,0.56,2026-01-29,1318,N,VIIRS,n,2.0NRT,286.06,3.05,D
7.12621,10.46788,340.13,0.34,0.56,2026-01-29,1318,N,VIIRS,n,2.0NRT,288.26,2.81,D
6.67892,7.24017,330.44,0.41,0.45,2026-01-29,1318,N,VIIRS,n,2.0NRT,282.94,4.88,D
7.08917,10.15629,367,0.32,0.55,2026-01-29,1318,N,VIIRS,h,2.0NRT,300.87,7.43,D
7.66808,14.50989,354.39,0.65,0.73,2026-01-29,1318,N,VIIRS,n,2.0NRT,300.99,17.2,D
6.75855,7.74154,343.22,0.44,0.46,2026-01-29,1318,N,VIIRS,n,2.0NRT,292.85,4.49,D
7.09124,10.09576,333.96,0.32,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,303.25,1.32,D
6.98537,9.32779,330.85,0.57,0.52,2026-01-29,1318,N,VIIRS,n,2.0NRT,290.78,1.68,D
7.15515,10.56382,356.9,0.35,0.56,2026-01-29,1318,N,VIIRS,l,2.0NRT,284.75,5.59,D
7.62631,14.07652,333.66,0.61,0.71,2026-01-29,1318,N,VIIRS,n,2.0NRT,279.29,5.1,D
7.16039,10.56316,333.69,0.35,0.56,2026-01-29,1318,N,VIIRS,n,2.0NRT,280.62,5.59,D
7.02167,9.5542,335.71,0.59,0.53,2026-01-29,1318,N,VIIRS,n,2.0NRT,293.46,6.63,D
6.58967,6.50219,334.39,0.55,0.43,2026-01-29,1318,N,VIIRS,n,2.0NRT,294.27,4.29,D
6.61051,6.61847,349.13,0.56,0.43,2026-01-29,1318,N,VIIRS,n,2.0NRT,291.37,10.82,D
7.10118,10.05575,334.91,0.32,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,296.37,1.58,D
7.16477,10.47884,337.94,0.34,0.56,2026-01-29,1318,N,VIIRS,n,2.0NRT,282.78,5.91,D
